"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000113946.4",5408.96232122588,6.27691931140292,0.72943438042094,8.60518708726158,7.61923820483397e-18,1.48352575188974e-13
"ENSG00000183775.11",183.568596254696,-4.7098514261816,0.552093636430646,-8.53089243453587,1.45223019126791e-17,1.48352575188974e-13
"ENSG00000147041.12",738.687274510306,6.26587155485519,0.742794757875574,8.4355355075147,3.29689709145445e-17,2.2452968158502e-13
"ENSG00000133800.9",677.014175502041,-3.50199763598205,0.427632797159134,-8.18926345043375,2.62829653879755e-16,9.939012512063e-13
"ENSG00000135378.4",2157.61030429164,1.02617459677377,0.125500843662005,8.17663504746973,2.91880353738818e-16,9.939012512063e-13
"ENSG00000158055.16",160.673881778763,4.51485863802699,0.549993912273474,8.20892474857443,2.23178042216316e-16,9.939012512063e-13
"ENSG00000151952.16",99.6990431907195,3.05153627439833,0.377463238250125,8.08432706863028,6.25083728860954e-16,1.82444080919402e-12
"ENSG00000147257.15",530.214824239474,-4.01281014706902,0.504586022227872,-7.95267797817996,1.82522339078706e-15,4.66139238714629e-12
"ENSG00000189056.14",401.029570538079,-4.66347219506057,0.589002009903638,-7.91758282085238,2.42172314773468e-15,4.94782256313673e-12
"ENSG00000233680.4",60.9969403500271,3.84605724438274,0.48502042062055,7.9296810626282,2.19709409895861e-15,4.94782256313673e-12
"ENSG00000231768.2",45.1269370850536,-3.32002321351611,0.420688181391608,-7.89188610560368,2.97653318220271e-15,5.52850449505306e-12
"ENSG00000170439.7",1857.62890733923,3.73586977549456,0.481717860113985,7.75530675696885,8.81301831006345e-15,1.47395183870617e-11
"ENSG00000174460.4",6924.67733496176,5.97824246018942,0.771644005784747,7.74740996544081,9.37857858312377e-15,1.47395183870617e-11
"ENSG00000117298.16",21776.806865313,1.44235164235531,0.187471470151194,7.69371276169148,1.42925724426912e-14,2.08579676840446e-11
"ENSG00000174562.13",45.5556568752279,-3.92989011633152,0.519113892261902,-7.5703813265487,3.72130248807911e-14,5.06866207559629e-11
"ENSG00000230587.2",48.070917724019,-3.32700293933919,0.446682922034244,-7.44824298226501,9.45914894430772e-14,1.20787420050719e-10
"ENSG00000169302.16",2326.12621255966,3.13500914415296,0.422403561351831,7.4218340728944,1.15509468602378e-13,1.38821997236187e-10
"ENSG00000175084.12",676.59727949708,-4.04060643514472,0.548272369400453,-7.36970648286217,1.71004115161557e-13,1.94099170936987e-10
"ENSG00000154258.17",220.33057897196,-3.76484667108849,0.51145637631667,-7.36103184048971,1.82494026421151e-13,1.96238708095291e-10
"ENSG00000117906.14",4438.53967706854,0.762557763799993,0.104220045983146,7.31680509835233,2.53944261365032e-13,2.59416760197448e-10
"ENSG00000123119.12",250.661884416795,-2.64168898762179,0.361857903107146,-7.30034901804972,2.87022209290012e-13,2.66552307182011e-10
"ENSG00000149573.9",7572.45058286533,2.12900312530718,0.291523565609212,7.3030223846847,2.81374348280014e-13,2.66552307182011e-10
"ENSG00000136011.15",95.2679183346782,-4.04667089868583,0.558190111855925,-7.24962842002175,4.17916552995166e-13,3.71237091054098e-10
"ENSG00000151491.14",4921.64343725499,2.05086506190979,0.284065660338462,7.21968667196944,5.21074944719592e-13,4.43586758148583e-10
"ENSG00000163485.17",1930.95133393728,2.6721012833026,0.373411265245612,7.15592038056221,8.31133748139973e-13,6.79235744329911e-10
"ENSG00000137648.19",2136.84234270363,5.92508134763434,0.833025127167793,7.11272824119851,1.13771166235002e-12,8.94022575902815e-10
"ENSG00000173535.15",243.948960917921,2.39060932840968,0.339392701447812,7.04378532069664,1.8708632156137e-12,1.4156891243779e-09
"ENSG00000091129.21",2346.37654183166,2.12055903503905,0.302722444173764,7.00496139566657,2.47053944788054e-12,1.74053763653956e-09
"ENSG00000182489.9",254.45364082654,3.49175416042481,0.498237126092418,7.00821752848889,2.41373337118314e-12,1.74053763653956e-09
"ENSG00000143839.15",93.2474770860289,5.18886788696823,0.743267320096637,6.9811597344191,2.92753221629602e-12,1.9937470237048e-09
"ENSG00000131080.15",686.717427061947,1.85215705706812,0.266991233209847,6.93714559388691,4.00101435912898e-12,2.47711285973831e-09
"ENSG00000143369.15",5362.56701208943,4.53177352862519,0.652975109988798,6.94019336924333,3.91563598348283e-12,2.47711285973831e-09
"ENSG00000172247.4",13.6084956404994,-3.31520327375637,0.477486042862649,-6.94303702340887,3.83758792292817e-12,2.47711285973831e-09
"ENSG00000286811.1",41.331718124491,3.66614347058285,0.530005384932579,6.91718155099352,4.60717505542499e-12,2.76850569286435e-09
"ENSG00000145864.14",1971.88952272103,5.45208197996038,0.794035364664042,6.86629616587312,6.58902099043336e-12,3.84629393872983e-09
"ENSG00000149451.18",231.737687259978,-2.53137284625703,0.370361627311441,-6.83486803055968,8.20805541599636e-12,4.65829945011727e-09
"ENSG00000065923.10",2946.24109412423,0.851622431080831,0.1248150432926,6.82307523688788,8.91119542717955e-12,4.92066577764068e-09
"ENSG00000154310.17",2365.11111490083,1.68465803182062,0.247631421602262,6.80308670410358,1.02400974411775e-11,5.50566923212361e-09
"ENSG00000167191.12",4179.54364234356,1.32519930363218,0.195716667681305,6.77100892495304,1.27887384036763e-11,6.69965934167977e-09
"ENSG00000241749.4",42.1505693469498,4.88029104694345,0.724315323929882,6.73779897471268,1.60803828615801e-11,8.21345755612356e-09
"ENSG00000172667.11",4355.26045394311,1.71965753894123,0.257496952254297,6.67836074907379,2.41629661691283e-11,1.20408185805234e-08
"ENSG00000163235.16",3429.04503274347,2.57123097318216,0.385328709387027,6.67282481306006,2.50925867834926e-11,1.22063485850842e-08
"ENSG00000092445.12",723.224904371045,2.37077197322035,0.356830307736851,6.64397592305612,3.053324733698e-11,1.45075529381823e-08
"ENSG00000162383.13",35.747625280661,-3.33214430793529,0.502674545413597,-6.62883039998299,3.38357063647393e-11,1.57113026531361e-08
